BOWLING,OVERS,MAIDEN,WICKETS,ECONOMY,ZEROES,WIDE BALLS,NO BALLS,BOWLING_TEAM
Logan van Beek,9,1,1,3.33,39,4,0,Netherlands
Colin Ackermann,7,1,1,3.57,29,0,0,Netherlands
Paul van Meekeren,7.2,0,4,3.13,30,2,0,Netherlands
Bas de Leede,7,0,2,3.57,30,0,0,Netherlands
Shariz Ahmad,2,0,0,6.5,5,0,0,Netherlands
David Willey,10,2,3,4.5,39,0,0,England
Chris Woakes,9,1,2,3.66,36,1,0,England
Adil Rashid,10,0,2,3.5,35,0,0,England
Mark Wood,9,1,1,5.11,32,2,0,England
Liam Livingstone,4,1,0,7.25,13,0,0,England
Moeen Ali,8,0,0,4.62,19,0,0,England
Jasprit Bumrah,6.5,1,3,4.68,31,2,0,India
Mohammed Siraj,6,0,0,5.5,22,2,0,India
Mohammed Shami,7,2,4,3.14,33,2,0,India
Kuldeep Yadav,8,0,2,3,28,0,0,India
Ravindra Jadeja,7,1,1,2.28,27,0,0,India
Mujeeb Ur Rahman,10,0,2,3.8,29,0,0,Afghanistan
Fazalhaq Farooqi,10,1,4,3.4,42,0,0,Afghanistan
Naveen-ul-Haq,6.3,0,0,7.23,16,2,0,Afghanistan
Azmatullah Omarzai,7,0,1,5.28,22,1,0,Afghanistan
Rashid Khan,10,0,1,5,27,2,0,Afghanistan
Mohammad Nabi,6,0,0,5.5,11,0,0,Afghanistan
Dilshan Madushanka,9,0,2,5.33,28,3,0,Sri-Lanka
Kasun Rajitha,10,0,1,4.8,37,2,0,Sri-Lanka
Angelo Mathews,3,0,0,6,8,0,0,Sri-Lanka
Dushmantha Chameera,9.2,0,0,5.46,29,0,0,Sri-Lanka
Maheesh Theekshana,10,0,0,5.5,25,3,0,Sri-Lanka
Dhananjaya de Silva,4,0,0,5.25,9,0,0,Sri-Lanka
Shaheen Shah Afridi,9,1,3,2.55,40,2,0,Pakistan
Iftikhar Ahmed,10,0,1,4.4,32,0,0,Pakistan
Haris Rauf,8,0,2,4.5,28,2,0,Pakistan
Mohammad Wasim,8.1,1,3,3.79,31,0,0,Pakistan
Usama Mir,10,0,1,6.6,27,1,0,Pakistan
Taskin Ahmed,6,1,0,6,21,0,0,Bangladesh
Shoriful Islam,4,1,0,6.25,16,1,0,Bangladesh
Mehidy Hasan Miraz,9,0,3,6.66,25,0,0,Bangladesh
Mustafizur Rahman,7,0,0,6.71,23,1,0,Bangladesh
Shakib Al Hasan,5.3,0,0,5.45,13,0,0,Bangladesh
Najmul Hossain Shanto,1,0,0,5,4,0,0,Bangladesh
Trent Boult,10,1,1,4.9,35,2,0,New-Zealand
Matt Henry,5.3,0,0,5.63,20,1,0,New-Zealand
Tim Southee,10,0,2,7.7,19,1,0,New-Zealand
Mitchell Santner,10,0,0,5.8,18,2,0,New-Zealand
Glenn Phillips,7,0,0,7.42,15,2,0,New-Zealand
Rachin Ravindra,2,0,0,8.5,6,0,0,New-Zealand
James Neesham,5.3,0,1,12.54,7,0,0,New-Zealand
Marco Jansen,8,1,3,3.87,29,1,1,South-Africa
Lungi Ngidi,6,1,0,4.66,23,0,0,South-Africa
Kagiso Rabada,6,2,1,2.66,27,0,0,South-Africa
Gerald Coetzee,6.3,0,2,6.3,24,1,0,South-Africa
Keshav Maharaj,9,0,4,5.11,32,0,0,South-Africa
