BATTING,RUNS,FOURS,SIXES,STRICK RATE,BATTING_TEAM
David Warner,11,0,1,183.33,Australia
Steven Smith,0,0,0,0,Australia
Marnus Labuschagne,40,2,0,66.66,Australia
Josh Inglis wk ,58,5,1,98.3,Australia
Glenn Maxwell,31,4,2,147.61,Australia
Marcus Stoinis,20,2,1,200,Australia
Vikramjit Singh,2,0,0,12.5,Netherlands
Max O'Dowd,18,4,0,72,Netherlands
Colin Ackermann,12,1,0,48,Netherlands
Bas de Leede,2,0,0,28.57,Netherlands
Sybrand Engelbrecht,19,1,1,51.35,Netherlands
Teja Nidamanuru,20,3,0,80,Netherlands
Scott Edwards(c) wk ,78,10,1,113.04,Netherlands
Logan van Beek,10,1,0,37.03,Netherlands
Roelof van der Merwe,29,3,1,152.63,Netherlands
Aryan Dutt,23,0,3,255.55,Netherlands
Temba Bavuma(c),16,2,1,51.61,South-Africa
Quinton de Kock wk ,20,3,0,90.9,South-Africa
Rassie van der Dussen,4,0,0,57.14,South-Africa
Aiden Markram,1,0,0,33.33,South-Africa
Heinrich Klaasen,28,4,0,100,South-Africa
David Miller,43,4,1,82.69,South-Africa
Marco Jansen,9,0,0,36,South-Africa
Gerald Coetzee,22,2,1,95.65,South-Africa
Keshav Maharaj,40,5,1,108.1,South-Africa
Kagiso Rabada,9,0,1,150,South-Africa
Lungi Ngidi,7,0,0,29.16,South-Africa
Devon Conway,20,3,0,111.11,New-Zealand
Will Young,54,4,3,84.37,New-Zealand
Rachin Ravindra,32,2,1,78.04,New-Zealand
Daryl Mitchell,1,0,0,14.28,New-Zealand
Tom Latham(c) wk ,68,3,2,91.89,New-Zealand
Glenn Phillips,71,4,4,88.75,New-Zealand
Mark Chapman,25,2,1,208.33,New-Zealand
Mitchell Santner,7,1,0,140,New-Zealand
Rahmanullah Gurbaz,11,0,1,52.38,Afghanistan
Ibrahim Zadran,14,2,0,93.33,Afghanistan
Rahmat Shah,36,1,0,58.06,Afghanistan
Hashmatullah Shahidi(c),8,1,0,27.58,Afghanistan
Azmatullah Omarzai,27,2,0,84.37,Afghanistan
Ikram Alikhil wk ,19,3,0,90.47,Afghanistan
Mohammad Nabi,7,1,0,77.77,Afghanistan
Rashid Khan,8,0,1,61.53,Afghanistan
Mujeeb Ur Rahman,4,1,0,133.33,Afghanistan
Naveen-ul-Haq,0,0,0,0,Afghanistan
Fazalhaq Farooqi,0,0,0,0,Afghanistan
Tanzid Hasan,51,5,3,118.6,Bangladesh
Litton Das,66,7,0,80.48,Bangladesh
Najmul Hossain Shanto(c),8,0,0,47.05,Bangladesh
Mehidy Hasan Miraz,3,0,0,23.07,Bangladesh
Towhid Hridoy,16,0,0,45.71,Bangladesh
Mushfiqur Rahim wk ,38,1,1,82.6,Bangladesh
Mahmudullah,46,3,3,127.77,Bangladesh
Nasum Ahmed,14,2,0,77.77,Bangladesh
Mustafizur Rahman,1,0,0,14.28,Bangladesh
Shoriful Islam,7,0,1,233.33,Bangladesh
Rohit Sharma(c),48,7,2,120,India
Shubman Gill,53,5,2,96.36,India
Virat Kohli,103,6,4,106.18,India
Shreyas Iyer,19,2,0,76,India
KL Rahul wk ,34,3,1,100,India
David Warner,163,14,9,131.45,Australia
Mitchell Marsh,121,10,9,112.03,Australia
Glenn Maxwell,0,0,0,0,Australia
Steven Smith,7,0,0,77.77,Australia
Marcus Stoinis,21,1,1,87.5,Australia
Josh Inglis wk ,13,3,0,144.44,Australia
Marnus Labuschagne,8,1,0,66.66,Australia
Pat Cummins(c),6,0,0,75,Australia
Mitchell Starc,2,0,0,66.66,Australia
Josh Hazlewood,0,0,0,0,Australia
Adam Zampa,1,0,0,100,Australia
Abdullah Shafique,64,7,2,104.91,Pakistan
Imam-ul-Haq,70,10,0,98.59,Pakistan
Babar Azam(c),18,3,0,128.57,Pakistan
Mohammad Rizwan wk ,46,5,0,115,Pakistan
Saud Shakeel,30,5,0,96.77,Pakistan
Iftikhar Ahmed,26,0,3,130,Pakistan
Mohammad Nawaz,14,0,1,87.5,Pakistan
